,score,metric,model
0,0.9624505928853755,AUC,Aggregation
1,0.941699604743083,AUC,Aggregation
2,0.9604743083003954,AUC,Aggregation
3,0.9634387351778657,AUC,Aggregation
4,0.9644268774703558,AUC,Aggregation
5,0.957509881422925,AUC,Aggregation
6,0.9442148760330579,AUC,Aggregation
7,0.9039256198347108,AUC,Aggregation
8,0.9483471074380166,AUC,Aggregation
9,0.8966942148760331,AUC,Aggregation
0,0.8837209302325583,F1,Aggregation
1,0.8571428571428571,F1,Aggregation
2,0.8636363636363636,F1,Aggregation
3,0.8636363636363636,F1,Aggregation
4,0.9,F1,Aggregation
5,0.9090909090909091,F1,Aggregation
6,0.8695652173913043,F1,Aggregation
7,0.8372093023255814,F1,Aggregation
8,0.8695652173913043,F1,Aggregation
9,0.7755102040816326,F1,Aggregation
0,0.9111111111111111,ACC,Aggregation
1,0.9111111111111111,ACC,Aggregation
2,0.8666666666666667,ACC,Aggregation
3,0.9111111111111111,ACC,Aggregation
4,0.9111111111111111,ACC,Aggregation
5,0.9111111111111111,ACC,Aggregation
6,0.8863636363636364,ACC,Aggregation
7,0.8636363636363636,ACC,Aggregation
8,0.9090909090909091,ACC,Aggregation
9,0.8636363636363636,ACC,Aggregation
0,0.8903162055335969,BACC,Aggregation
1,0.8913043478260869,BACC,Aggregation
2,0.8903162055335969,BACC,Aggregation
3,0.866600790513834,BACC,Aggregation
4,0.9090909090909092,BACC,Aggregation
5,0.9100790513833992,BACC,Aggregation
6,0.8636363636363636,BACC,Aggregation
7,0.8409090909090909,BACC,Aggregation
8,0.8863636363636364,BACC,Aggregation
9,0.7954545454545454,BACC,Aggregation
0,0.9130434782608695,Precision,Aggregation
1,0.9444444444444444,Precision,Aggregation
2,0.9047619047619048,Precision,Aggregation
3,0.8695652173913043,Precision,Aggregation
4,1.0,Precision,Aggregation
5,1.0,Precision,Aggregation
6,0.8695652173913043,Precision,Aggregation
7,0.8636363636363636,Precision,Aggregation
8,0.8333333333333334,Precision,Aggregation
9,0.76,Precision,Aggregation
0,0.8695652173913043,Recall,Aggregation
1,0.8260869565217391,Recall,Aggregation
2,0.8695652173913043,Recall,Aggregation
3,0.9090909090909091,Recall,Aggregation
4,0.7727272727272727,Recall,Aggregation
5,0.9090909090909091,Recall,Aggregation
6,0.9090909090909091,Recall,Aggregation
7,0.8181818181818182,Recall,Aggregation
8,0.9545454545454546,Recall,Aggregation
9,0.9090909090909091,Recall,Aggregation
