,score,metric,model
0,0.7800444444444444,AUC,Expression
1,0.8118666666666666,AUC,Expression
2,0.8286666666666667,AUC,Expression
3,0.8486888888888889,AUC,Expression
4,0.8680830259122627,AUC,Expression
5,0.8300146673185474,AUC,Expression
6,0.8451264500644473,AUC,Expression
7,0.8257700342237433,AUC,Expression
8,0.7829014622872127,AUC,Expression
9,0.8771364653243847,AUC,Expression
0,0.7453416149068322,F1,Expression
1,0.7516339869281047,F1,Expression
2,0.7731629392971245,F1,Expression
3,0.7663551401869159,F1,Expression
4,0.7692307692307693,F1,Expression
5,0.7612903225806451,F1,Expression
6,0.7414330218068536,F1,Expression
7,0.7354838709677419,F1,Expression
8,0.7249190938511327,F1,Expression
9,0.7878787878787878,F1,Expression
0,0.6966666666666667,ACC,Expression
1,0.74,ACC,Expression
2,0.7533333333333333,ACC,Expression
3,0.7633333333333333,ACC,Expression
4,0.7633333333333333,ACC,Expression
5,0.7433333333333333,ACC,Expression
6,0.7333333333333333,ACC,Expression
7,0.7533333333333333,ACC,Expression
8,0.71,ACC,Expression
9,0.7892976588628763,ACC,Expression
0,0.7166666666666667,BACC,Expression
1,0.7266666666666667,BACC,Expression
2,0.78,BACC,Expression
3,0.7366666666666666,BACC,Expression
4,0.7697897684341526,BACC,Expression
5,0.7363216142939686,BACC,Expression
6,0.7494777545668696,BACC,Expression
7,0.7164096182052535,BACC,Expression
8,0.6964087292768568,BACC,Expression
9,0.7925503355704697,BACC,Expression
0,0.6875,Precision,Expression
1,0.7142857142857143,Precision,Expression
2,0.7368421052631579,Precision,Expression
3,0.7435897435897436,Precision,Expression
4,0.7707006369426752,Precision,Expression
5,0.7176470588235294,Precision,Expression
6,0.711764705882353,Precision,Expression
7,0.7435897435897436,Precision,Expression
8,0.7088607594936709,Precision,Expression
9,0.8082191780821918,Precision,Expression
0,0.7666666666666667,Recall,Expression
1,0.7333333333333333,Recall,Expression
2,0.7666666666666667,Recall,Expression
3,0.7733333333333333,Recall,Expression
4,0.7947019867549668,Recall,Expression
5,0.8013245033112583,Recall,Expression
6,0.8145695364238411,Recall,Expression
7,0.7880794701986755,Recall,Expression
8,0.7483443708609272,Recall,Expression
9,0.8066666666666666,Recall,Expression
