seq0, sp|C0H412|SWRD_BACSU
seq1, sp|Q3AUR5|CLPS_SYNS9
seq2, sp|Q9FLB1|PYL5_ARATH
seq3, sp|Q3AUR5|CLPS_SYNS9
seq4, sp|Q04810|DPAB_BACSU
seq5, sp|P54462|MTAB_BACSU
seq6, sp|E8MF12|NAHK_BIFL2
seq7, sp|D5EV35|AXEA1_PRER2
seq8, sp|Q8VZD4|DEG15_ARATH
seq9, sp|Q8VZD4|DEG15_ARATH
seq10, sp|P37522|SOJ_BACSU
seq11, sp|Q9KBM8|CBIA_ALKHC
seq12, sp|Q9KBM8|CBIA_ALKHC
seq13, sp|Q04810|DPAB_BACSU
seq14, sp|Q9ZV05|NATA1_ARATH
seq15, sp|Q2RGX2|XYLG_MOOTA
seq16, sp|P42616|YQJC_ECOLI
seq17, sp|O31797|YMZC_BACSU
seq18, sp|O31942|YONS_BACSU
seq19, sp|O32085|CDOA_BACSU
seq20, sp|O34409|YFLN_BACSU
seq21, sp|O05503|YDHK_BACSU
seq22, sp|O05503|YDHK_BACSU
seq23, sp|O05503|YDHK_BACSU
seq24, sp|P54498|YQGU_BACSU
seq25, sp|P42955|YSLB_BACSU
seq26, sp|P54498|YQGU_BACSU
seq27, sp|P37580|FHUD_BACSU
seq28, sp|O31810|YNDF_BACSU
seq29, sp|P54155|MSRB_BACSU
seq30, sp|E8MF12|NAHK_BIFL2
seq31, sp|D5EV35|AXEA1_PRER2
seq32, sp|P30404|PPIF_BOVIN
seq33, sp|Q65474|NCAP_BEFVB
seq34, sp|A0L407|KCY_MAGMM
seq35, sp|Q97N08|PSD1_CLOAB
seq36, sp|Q8FEY4|PAST_ECOL6
seq37, sp|A7FDF2|FADB_YERP3
seq38, sp|Q65YX0|SFNF_PSEPU
seq39, sp|P55302|AMRP_MOUSE
seq40, sp|P00733|CBPM_STRAL
seq41, sp|O86788|TSAE_STRCO
seq42, sp|O86788|TSAE_STRCO
seq43, sp|O74364|ADN1_SCHPO
seq44, sp|Q03195|RLI1_YEAST
seq45, sp|P0ACK2|AGAR_ECOLI
seq46, sp|P9WKZ9|Y3395_MYCTU
seq47, sp|Q9PAR9|UVRA_XYLFA
seq48, sp|Q6G0V9|CCMA_BARQU
seq49, sp|A7Z9L0|FABZ_BACVZ
seq50, sp|Q1H150|FABZ_METFK
seq51, sp|A3DNV8|RFCL_STAMF
